Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2018-12-01,Microtech Medical is a Chinese medical equipment start-up developing and manufacturing medical devices.,Microtech Medical,https://www.crunchbase.com/organization/microtech-medical,"Health Care, Manufacturing, Medical, Medical Device","Hangzhou, Zhejiang, China, Asia",Series C - Microtech Medical,https://www.crunchbase.com/funding_round/microtech-medical-series-c--2e8654a7,4,"Guofang Ziben, Juren Capital, LYZZ Capital, Qiming Venture Partners",Late Stage Venture,Qiming Venture Partners,Series C,7,202300000,CNY,29070269,,,,1163320000,CNY,173566737,Yes,,http://www.microtechmd.com/en,$50M to $100M,IPO,1,"29,178"
2019-01-01,Zion Pharma is a drug discovery platform.,Zion Pharma,https://www.crunchbase.com/organization/zion-pharma,Biotechnology,"Shanghai, Shanghai, China, Asia",Series A - Zion Pharma,https://www.crunchbase.com/funding_round/zion-pharma-series-a--c5646aa2,5,"Med-Fine Capital, Qiming Venture Partners, Suzhou Juming, Taifu Capital, TF Capital",Early Stage Venture,"Qiming Venture Partners, Suzhou Juming, Taifu Capital",Series A,5,82000000,CNY,11921204,,,,111758128,USD,111758128,Yes,,https://www.zionpharma.com,$1M to $10M,Early Stage Venture,1,"55,501"
2019-02-01,Newlinks Technology is a mobile app that provides car fueling services with card free payments.,Newlinks Technology,https://www.crunchbase.com/organization/newlinks-technology,"Automotive, Information Technology, Productivity Tools, Transportation","Beijing, Beijing, China, Asia",Series B - Newlinks Technology,https://www.crunchbase.com/funding_round/newlinks-technology-series-b--e086bc41,5,"GSR United Capital, Pusu Capital, Qingdao Global Wealth Center, Sino Pacific Capital, Zero2IPO",Early Stage Venture,"GSR United Capital, Zero2IPO",Series B,10,275000000,CNY,40771546,,,,645148064,USD,645148064,Yes,,https://www.czb365.com/,$100M to $500M,Late Stage Venture,,"76,520"
2019-02-20,Supermonkey develops and operates a mobile based application that offers fitness services.,Supermonkey,https://www.crunchbase.com/organization/supermonkey,"Apps, Fitness, Health Care, Mobile, Wellness","Shenzhen, Guangdong, China, Asia",Series D - Supermonkey,https://www.crunchbase.com/funding_round/supermonkey-series-d--576184f6,3,"Orient Securities Capital Investment, Starquest Capital, Yao Capital",Late Stage Venture,"Starquest Capital, Yao Capital",Series D,8,360000000,CNY,53561067,,,,78169918,USD,78169918,Yes,,https://www.supermonkey.com.cn,$10M to $50M,Late Stage Venture,,"77,241"
2018-12-10,"G7 is a fleet management service provider in China that offers IoT/AI services to over 800,000 vehicles.",G7,https://www.crunchbase.com/organization/g7,"Fleet Management, Information Technology, Internet of Things, Logistics, Transportation","Haidian, Beijing, China, Asia",Private Equity Round - G7,https://www.crunchbase.com/funding_round/g7-private-equity--53f5fb3d,9,"Bank of China, CBC Capital, GLP, HOPU Investment Management Company, Intelligent Fund of Funds, Mount Morning Capital, Tencent, TotalEnergies Ventures, Tsinghua Holdings Capital",Private Equity,HOPU Investment Management Company,Private Equity,7,320000000,USD,320000000,,,,710000000,USD,710000000,Yes,,http://g7.com.cn,$50M to $100M,Private Equity,1,"78,013"
2019-01-02,Saint Bella is a maternal and baby care center operator for pregnant mothers who are looking for a better life and have spiritual needs.,Saint Bella,https://www.crunchbase.com/organization/saint-bella,"Health Care, Hospital","Zhuhai, Guangdong, China, Asia",Series A - Saint Bella,https://www.crunchbase.com/funding_round/saint-bella-series-a--c241456d,3,"Gaorong Capital, Shulan Health, Tangzhu Capital",Early Stage Venture,Tangzhu Capital,Series A,5,7300000,USD,7300000,,,,53564824,USD,53564824,Yes,,http://www.stbella.cn/,$10M to $50M,Late Stage Venture,,"81,828"
2019-02-01,"Mogu Zhixing provides a range of services like locating and tracking vehicles, generating traveling data and searching for car maintenance.",Mogu Zhixing,https://www.crunchbase.com/organization/mogu-zhixing,"Apps, SaaS, Software","Tianjing, Tianjin, China, Asia",Series A - Mogu Zhixing,https://www.crunchbase.com/funding_round/mogu-zhixing-series-a--84b73233,3,"BAI capital, JD.com, Tencent",Early Stage Venture,Tencent,Series A,2,120000000,USD,120000000,,,,203905967,USD,203905967,Yes,,http://www.zhidaohulian.com,,Late Stage Venture,,"81,804"
2018-12-19,Immotor develops and sells portable and personal transport systems.,Immotor,https://www.crunchbase.com/organization/immotor-llc,"Fleet Management, Manufacturing, Transportation","Shenzhen, Guangdong, China, Asia",Series B - Immotor,https://www.crunchbase.com/funding_round/immotor-llc-series-b--fc677e3b,8,"GGV Capital, Hyundai Motor Company, Korea Investment Partners, Mirae Asset Venture Investment, Samsung Ventures, Translink Capital, U.S.-China Green Fund, Yunqi Partners",Early Stage Venture,U.S.-China Green Fund,Series B,7,43510000,USD,43510000,,,,64322549,USD,64322549,Yes,,https://www.ehuandian.net/,$1M to $10M,Late Stage Venture,1,"83,299"
2018-12-19,4Paradigm is an AI tech firm that helps enterprises improve work efficiency while reducing risk and achieving greater commercial value.,4Paradigm,https://www.crunchbase.com/organization/4paradigm,"Artificial Intelligence (AI), Information Services, Machine Learning, Software","Beijing, Beijing, China, Asia",Series C - 4Paradigm,https://www.crunchbase.com/funding_round/4paradigm-series-c--ae997edc,10,"Agricultural Bank of China, Bank of Communications, China Poly Group, China Reform Fund Management, CTBC Bank, HSG, Huyu Equity Investment Fund, ONEW, Three Gorges Capital, Tusholdings",Late Stage Venture,"Agricultural Bank of China, Bank of Communications, China Poly Group, China Reform Fund Management, CTBC Bank, Three Gorges Capital, Tusholdings",Series C,6,1000000000,CNY,145099974,1050000000,USD,1050000000,1075261565,USD,1075261565,Yes,,https://www.4paradigm.com/,$1B to $10B,Late Stage Venture,,"87,208"
2019-01-02,Antengene is a developer of biotechnology and bio-pharmaceuticals intended to provide medicine treatment for tumor.,Antengene Corporation,https://www.crunchbase.com/organization/antengene-corporation,"Biopharma, Biotechnology, Life Science, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series B - Antengene Corporation,https://www.crunchbase.com/funding_round/antengene-corporation-series-b--45176ff1,7,"Boyu Capital, Celgene, FountainVest Partners, Qiming Venture Partners, Taikang Insurance Group, TF Capital, WuXi Healthcare Ventures",Early Stage Venture,"Boyu Capital, FountainVest Partners",Series B,3,120000000,USD,120000000,,,,238000000,USD,238000000,Yes,,http://antengene.com/,$10M to $50M,IPO,3,"87,250"
