Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2022-08-15,"SAIC Mobility offers one-stop"" service travel service.",SAIC Mobility,https://www.crunchbase.com/organization/robotaxi,Travel,"Shanghai, Shanghai, China, Asia",Series B - SAIC Mobility,https://www.crunchbase.com/funding_round/robotaxi-series-b--a7d9f874,3,"Gaoxing Investment, Momenta, SAIC Motor",Early Stage Venture,SAIC Motor,Series B,3,1000000000,CNY,147634163,852000000,USD,852000000,2600000000,CNY,373359868,Yes,,https://www.saicmobility.com,,Late Stage Venture,,"11,133",
2022-09-22,FutureFab.AI is a domestic semiconductor engineering intelligent system company.,FutureFab.AI,https://www.crunchbase.com/organization/futurefab-ai,"Artificial Intelligence (AI), Semiconductor, Software","Shenzhen, Guangdong, China, Asia",Seed Round - FutureFab.AI,https://www.crunchbase.com/funding_round/futurefab-ai-seed--30abfaf8,2,"Dasu Changqing, Green Pine Capital Partners",Seed,Green Pine Capital Partners,Seed,3,,,,,,,,,,Yes,,https://www.futurefab.cn/,,Early Stage Venture,2,"23,032",
2022-09-10,JoyMed Technology is a designer and manufacturer of medical devices.,JoyMed Technology,https://www.crunchbase.com/organization/joymed-technology,"Health Care, Manufacturing, Medical Device","Minhang, Shanghai, China, Asia",Series B - JoyMed Technology,https://www.crunchbase.com/funding_round/joymed-technology-series-b--25a2b92f,3,"BioVenture, CICC, Legend Capital",Early Stage Venture,"BioVenture, CICC, Legend Capital",Series B,3,100000000,CNY,14437098,,,,138000000,CNY,19935006,Yes,,http://www.joymed-tech.com/,,Early Stage Venture,,"41,234",
2022-11-08,"Atech Automotive Electronics is a company that designs, develops, manufactures, and sells automotive electronic products.",Atech Automotive Electronics,https://www.crunchbase.com/organization/atech-automotive-electronics,"Automotive, Manufacturing, Sensor","Wuhu, Anhui, China, Asia",Series C - Atech Automotive Electronics,https://www.crunchbase.com/funding_round/atech-automotive-electronics-series-c--26060ccd,7,"China Fortune-Innovation Capital, CICC, Cowin Capital, October Capital, PICC Capital Investment Management, Winsoul Capital, Xiaomi",Late Stage Venture,"China Fortune-Innovation Capital, CICC, PICC Capital Investment Management, Xiaomi",Series C,2,500000000,CNY,68972177,,,,500000000,CNY,68972177,Yes,,https://www.atech-automotive.com/,,Late Stage Venture,,"41,608",
2022-11-09,"Mainstream Bio is a biotechnology company grounded in research, specializing in the development of innovative peptide therapeutics 2.0.",Mainstream Biotech,https://www.crunchbase.com/organization/mainstream-biotech,Health Care,"Shanghai, Shanghai, China, Asia",Series A - Mainstream Biotech,https://www.crunchbase.com/funding_round/mainstream-biotech-series-a--cad74c0a,3,"Dingfu Investment, Fuho Capital, Tanxue Capital",Early Stage Venture,Fuho Capital,Series A,2,100000000,CNY,13808531,,,,100000000,CNY,13808531,Yes,,,,Early Stage Venture,1,"43,976",
2022-08-17,Jinjia is a cosmetics company,Shanghai Jinjia Technology,https://www.crunchbase.com/organization/shanghai-jinjia,"Beauty, Cosmetics, E-Commerce","Shanghai, Shanghai, China, Asia",Series A - Shanghai Jinjia Technology,https://www.crunchbase.com/funding_round/shanghai-jinjia-series-a--f3ea693f,2,"Huaying Capital, Meridian Capital Asia",Early Stage Venture,"Huaying Capital, Meridian Capital Asia",Series A,1,,,,,,,,,,Yes,,http://www.shjinjia.com.cn,,Early Stage Venture,,"46,583",
2022-12-22,Mook Exploration is a digital distribution system developer for the local life industry.,Mook Exploration,https://www.crunchbase.com/organization/mook-exploration,"Catering, Marketing, Sales","Xiamen, Fujian, China, Asia",Venture Round - Mook Exploration,https://www.crunchbase.com/funding_round/mook-exploration-series-unknown--dcb344fc,4,"Qiniu, Shenzhen Capital Group, Tang Yanzhao, Zhi Li",,,Venture - Series Unknown,1,,,,,,,,,,Yes,,http://www.mookgo.cn/,,,,"48,149",
2022-09-09,Qi An Xin is a security provider dedicated to protecting critical and valuable internet assets in a wide range of areas.,Qi An Xin,https://www.crunchbase.com/organization/qi-an-xin,"Cyber Security, Information Technology, Internet, Network Security, Security","Beijing, Beijing, China, Asia",Series B - Qi An Xin,https://www.crunchbase.com/funding_round/qi-an-xin-series-b--1acdf888,4,"Everest Venture Capital, Ningbo Angel Investment Guidance Fund, Ningbo Intellectual Property Operation Fund, Ningbo Tongshang Fund",Early Stage Venture,Everest Venture Capital,Series B,5,100000000,CNY,14437306,,,,7450000000,CNY,1078605262,Yes,,https://www.qianxin.com/,$1B to $10B,Early Stage Venture,1,"49,563",
2022-11-14,Tage Zhixing provides unmanned driving solution and mine unmanned transportation operator.,Tage Zhixing,https://www.crunchbase.com/organization/tage-zhixing,"Automotive, Operating Systems, Product Research, Transportation","Beijing, Beijing, China, Asia",Series C - Tage Zhixing,https://www.crunchbase.com/funding_round/tage-zhixing-series-c--36510a4b,2,"Baotong Investment, Wuxi Boton Technology",Late Stage Venture,,Series C,7,100000000,CNY,14136274,,,,1224000000,CNY,173242837,Yes,,https://www.i-tage.com/,,Late Stage Venture,1,"50,156",
2022-12-26,Deep Stream Micro is a graphics chip manufacturer providing GPU chip design with super-computing features and high-performance solutions.,Deep Stream Micro,https://www.crunchbase.com/organization/deep-stream-micro,"Artificial Intelligence (AI), Electronics, GPU, Manufacturing, Semiconductor","Shenzhen, Guangdong, China, Asia",Series A - Deep Stream Micro,https://www.crunchbase.com/funding_round/deep-stream-micro-series-a--1aca7e34,3,"Shenzhen Qianhai Xingwang Investment, Shunrong Gufen, Z&Y Capital",Early Stage Venture,Shenzhen Qianhai Xingwang Investment,Series A,3,100000000,CNY,14363276,,,,200000000,CNY,30189316,Yes,,http://www.siroywe.com.cn/,,Early Stage Venture,,"50,895",
