Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round),Sentiment
2023-08-01,Enchannel Medical is a global innovation platform that provides a one-stop atrial fibrillation treatment solutions.,Enchannel,https://www.crunchbase.com/organization/enchannel,"Biotechnology, Medical, Therapeutics","Huangpu, Guangdong, China, Asia",Series A - Enchannel,https://www.crunchbase.com/funding_round/enchannel-series-a--cbeaddef,2,"Lilly Asia Ventures, Longpan Investment",Early Stage Venture,"Lilly Asia Ventures, Longpan Investment",Series A,2,200000000,CNY,27864855,,,,800000000,CNY,110203266,Yes,,https://www.enchannel.com/,,Early Stage Venture,1,"23,252",
2023-05-16,Coremins is a full-service provider of lithium battery HSI high shear insulating material spraying solutions.,Coremins,https://www.crunchbase.com/organization/coremins,"Manufacturing, Semiconductor, Service Industry","Zhuhai, Guangdong, China, Asia",Series A - Coremins,https://www.crunchbase.com/funding_round/coremins-series-a--7adda605,1,Zhuhai High Tech Investment,Early Stage Venture,Zhuhai High Tech Investment,Series A,1,,,,,,,,,,Yes,,,,Early Stage Venture,,"43,893",
2023-05-19,Neo Fusion operates as a nuclear fusion startup.,Neo Fusion,https://www.crunchbase.com/organization/neo-fusion,Energy,"Hefei, Anhui, China, Asia",Venture Round - Neo Fusion,https://www.crunchbase.com/funding_round/neo-fusion-series-unknown--7638a331,2,"NIO, NIO Capital",,NIO,Venture - Series Unknown,1,1500000000,CNY,214053314,3500000000,CNY,499457732,1500000000,CNY,214053314,Yes,,,,,,"45,825",
2023-09-08,FAW Pentium is an automobile company that focuses on manufacturing and distribution of budget passenger vehicles for the FAW Group.,FAW Pentium,https://www.crunchbase.com/organization/faw-pentium,"Automotive, Autonomous Vehicles, Manufacturing","Changchun, Jilin, China, Asia",Venture Round - FAW Pentium,https://www.crunchbase.com/funding_round/faw-pentium-series-unknown--96bf4502,2,"FAW Investment, Yueda Autombile Group",,"FAW Investment, Yueda Autombile Group",Venture - Series Unknown,1,2397000000,CNY,326433338,,,,2397000000,CNY,326433338,Yes,,https://benteng.faw.cn,,,,"46,657",
2023-07-12,Quzyme Biotechnology offers bio-enzyme-catalyzed synthesis services to enhance and optimize chemical products and process technologies.,Quzyme Biotechnology,https://www.crunchbase.com/organization/quzyme-biotechnology,"Biopharma, Biotechnology, Medical","Shanghai, Shanghai, China, Asia",Series A - Quzyme Biotechnology,https://www.crunchbase.com/funding_round/quzyme-biotechnology-series-a--767eafb6,6,"Houshi Investment, Huayao equity, Jingyuantong Investment, Kangju Venture Capital, Nanling Venture Capital, Tongde Capital",Early Stage Venture,"Houshi Investment, Huayao equity, Jingyuantong Investment, Kangju Venture Capital, Nanling Venture Capital, Tongde Capital",Series A,1,100000000,CNY,13954202,,,,100000000,CNY,13954202,Yes,,https://enzymetree.cn/,,Early Stage Venture,6,"47,173",
2023-07-06,"BYN Chemical is a chemical material manufacturer specializing in gamma-butyrolactone (GBL), N-methylpyrrolidone (NMP), and cyclohexylamine.",BYN Chemical,https://www.crunchbase.com/organization/byn-chemical,"Chemical, Manufacturing","Binzhou, Shandong, China, Asia",Venture Round - BYN Chemical,https://www.crunchbase.com/funding_round/byn-chemical-series-unknown--f8e8e5e3,3,"CD Capital, Fortune Venture Capital, GAC Capital",,"CD Capital, Fortune Venture Capital, GAC Capital",Venture - Series Unknown,1,,,,,,,,,,Yes,,https://www.bynchem.com/en/index.php?s=/Home/article/index/category/51.html,,,,"48,727",
2023-06-16,Hua Na is a new material supplier and sells sodium ion battery materials.,Hua Na new material,https://www.crunchbase.com/organization/hua-na-new-material,"Battery, Manufacturing","Shenzhen, Guangdong, China, Asia",Corporate Round - Hua Na new material,https://www.crunchbase.com/funding_round/hua-na-new-material-corporate-round--0c129a19,1,VDL Electronics,,VDL Electronics,Corporate Round,1,,,,,,,,,,Yes,,http://www.huana11.cn,,,,"49,493",
2023-05-25,DeepKinase is a biotechnology company that commercializes PCT patented technology proteomics platform DoTK (Deep Omics of Tyrosine Kinase).,DeepKinase,https://www.crunchbase.com/organization/deepkinase,"Analytics, Biotechnology, Health Care, Medical","Haidian, Beijing, China, Asia",Series A - DeepKinase,https://www.crunchbase.com/funding_round/deepkinase-series-a--ea2b634c,3,"Boyuan Capital, Frees Fund, Longpan Investment",Early Stage Venture,"Boyuan Capital, Longpan Investment",Series A,3,,,,,,,,,,Yes,,https://deepkinase.com/,,Early Stage Venture,1,"49,948",
2023-08-23,Baoyi Technology is a heating film patent and utility model patent manufacturing company.,Baoyi Technology,https://www.crunchbase.com/organization/teng-baoyi,"Automotive, Manufacturing, Sales","Wuhan, Hubei, China, Asia",Series A - Baoyi Technology,https://www.crunchbase.com/funding_round/teng-baoyi-series-a--473f4e4e,1,Industrial Securities Capital,Early Stage Venture,Industrial Securities Capital,Series A,2,,,,,,,3000000,CNY,473451,Yes,,http://www.baoyitek.com,,Early Stage Venture,,"50,165",
2023-06-16,INVT Electric is specialized in electric control and powertrain solution and service supplier.,INVT Electric Vehicle Drive Technology,https://www.crunchbase.com/organization/invt-electric-vehicle-drive-technology,"Electrical Distribution, Power Grid, Service Industry","Shenzhen, Guangdong, China, Asia",Corporate Round - INVT Electric Vehicle Drive Technology,https://www.crunchbase.com/funding_round/invt-electric-vehicle-drive-technology-corporate-round--003a7c62,2,"Guohai Innovative CCI Capital, Sany",,"Guohai Innovative CCI Capital, Sany",Corporate Round,1,5000000,CNY,701626,,,,5000000,CNY,701626,Yes,,https://www.invt-ev.com/,,,,"50,677",
