Announced Date,Organization Description,Organization Name,Organization Name URL,Organization Industries,Organization Location,Transaction Name,Transaction Name URL,Number of Investors,Investor Names,Funding Stage,Lead Investors,Funding Type,Number of Funding Rounds,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Partner Investors,CB Rank (Funding Round)
2022-03-07,Ideamake is a VR viewing solution provider that builds a virtual house environment through virtual reality technology.,Ideamake,https://www.crunchbase.com/organization/ideamake,"3D Technology, Real Estate, Software, Virtual Reality","Shenzhen, Guangdong, China, Asia",Series C - Ideamake,https://www.crunchbase.com/funding_round/ideamake-series-c--de087d8b,3,"China Merchants Venture, Cowin Capital, Volcanics Venture",Late Stage Venture,"China Merchants Venture, Volcanics Venture",Series C,5,,,,,,,106500000,CNY,15786485,Yes,,http://www.ideamake.cn/,,Late Stage Venture,,"7,173"
2022-03-10,Shenzhen Shifeng is committed to the independent research and development and industrialization of high-end industrial software.,Shenzhen Shifeng,https://www.crunchbase.com/organization/shenzhen-shifeng,"Simulation, Software","Shenzhen, Guangdong, China, Asia",Series A - Shenzhen Shifeng,https://www.crunchbase.com/funding_round/shenzhen-shifeng-series-a--8f823c50,8,"China Development Bank Capital, Co-Stone Venture Capital, Green Pine Capital Partners, Hillhouse Investment, Hillhouse Ventures, JCP Capital, Oceanpine Capital, Renzhi Capital",Early Stage Venture,"China Development Bank Capital, Hillhouse Investment, Hillhouse Ventures",Series A,1,100000000,CNY,15818029,,,,100000000,CNY,15818029,Yes,,https://www.tenfong.cn,,Early Stage Venture,,"8,012"
2022-01-01,Ruizhu Technology is focused on 3D ranging technology in the field of lidar.,Ruizhu Technology,https://www.crunchbase.com/organization/ruizhu-technology,"Automotive, Robotics, Security","Haidian, Beijing, China, Asia",Angel Round - Ruizhu Technology,https://www.crunchbase.com/funding_round/ruizhu-technology-angel--f9ea382b,1,NavInfo,Seed,,Angel,3,,,,,,,200000000,CNY,27490410,Yes,,http://www.rayz.ai,,,,"21,078"
2022-03-29,Yishi Technology is a 3D vision laser sensor R&D manufacturer dedicated to the research and development of intelligent industrial cameras.,Yishi Technology,https://www.crunchbase.com/organization/yishi-technology,"3D Technology, Enterprise, Manufacturing, Sensor","Minhang, Shanghai, China, Asia",Series A - Yishi Technology,https://www.crunchbase.com/funding_round/yishi-technology-series-a--aa1f4304,5,"Chengwei Capital, Inspiration Capital, Tsing-Yuan Capital, Xiaomiao Langcheng, Zizhu Xiaomiao Fund",Early Stage Venture,"Chengwei Capital, Inspiration Capital",Series A,1,100000000,CNY,15712894,,,,100000000,CNY,15712894,Yes,,http://www.nextvision-tech.com/,$1M to $10M,Early Stage Venture,,"23,723"
2022-02-28,Qimai Technology is a SaaS platform focused on the digital operation of users in the private domain of merchant stores.,Qmai.cn,https://www.crunchbase.com/organization/qmai-cn,"Enterprise, SaaS, Software","Hefei, Anhui, China, Asia",Series C - Qmai.cn,https://www.crunchbase.com/funding_round/qmai-cn-series-c--a7181c87,3,"Gaocheng Capital, Hillhouse Investment, Shunwei Capital",Late Stage Venture,Gaocheng Capital,Series C,4,,,,,,,24259344,USD,24259344,Yes,,https://www.qmai.cn,,Late Stage Venture,3,"40,295"
2022-02-08,"Leadsynbio is an industrial biotechnology company engaged in the development, production, and sales of health care products.",Leadsynbio,https://www.crunchbase.com/organization/pilot-biotechnology,"Biopharma, Biotechnology, Health Care, Manufacturing, Medical, Pet","Suzhou, Jiangsu, China, Asia",Series C - Leadsynbio,https://www.crunchbase.com/funding_round/pilot-biotechnology-series-c--bf3adf4b,8,"Asia Green Fund, Caixin Industry Fund, GF Qianhe Investment, GL Ventures, Hillhouse Ventures, Lilly Asia Ventures, Sherpa Healthcare Partners, U.S.-China Green Fund",Late Stage Venture,"GL Ventures, Lilly Asia Ventures, Sherpa Healthcare Partners",Series C,3,100000000,CNY,15706477,,,,36616477,USD,36616477,Yes,,http://www.leadbiotechnology.com,,Late Stage Venture,1,"42,438"
2021-12-20,Lvzhou Technology is an AIOS control center platform based on AI and IoT to achieve intelligent management in the energy and battery areas.,Lvzhou Technology,https://www.crunchbase.com/organization/lvzhou-technology,"Artificial Intelligence (AI), Battery, Energy, Internet of Things","Hefei, Anhui, China, Asia",Series A - Lvzhou Technology,https://www.crunchbase.com/funding_round/lvzhou-technology-series-a--d8af29bb,5,"CAS Star, CRYSTAL VENTURES, Hefei High-tech VC, Stone Capital, Zhejiang University",Early Stage Venture,"CAS Star, CRYSTAL VENTURES, Hefei High-tech VC, Stone Capital, Zhejiang University",Series A,2,90000000,CNY,14116097,,,,90000000,CNY,14116097,Yes,,http://www.ahlzkj.com/,,,,"42,841"
2022-02-21,Guandata is committed to providing next-generation data analytics and business intelligence (BI) solutions.,Guandata,https://www.crunchbase.com/organization/guandata,"Analytics, Enterprise","Hangzhou, Zhejiang, China, Asia",Series C - Guandata,https://www.crunchbase.com/funding_round/guandata-series-c--15c74ecc,5,"HSG, Linear Venture, Tiger Global Management, Unicorn Capital Partners, Xianghe Capital",Late Stage Venture,Tiger Global Management,Series C,5,280000000,CNY,44196802,,,,515000000,CNY,79728234,Yes,,https://www.guandata.com/,$1M to $10M,Late Stage Venture,2,"43,969"
2021-12-17,DERA is a technology-oriented product research and development company.,DERA,https://www.crunchbase.com/organization/dera,"Information Services, Information Technology, Semiconductor","Haidian, Beijing, China, Asia",Series C - DERA,https://www.crunchbase.com/funding_round/dera-series-c--8e72de1c,12,"China Reform Fund Management, CICC, CITIC Heavy Industries, Guangdong Hengxing Group, Guangdong Yuecai Venture Capital Co., Ltd., Guoxin Technology, Hebei Coastal Industry Investment Fund Management, Hongta Venture Capital, Huaye Tiancheng Capital, Hundreds Capital, Shennong Capital, Shenzhen Capital Group",Late Stage Venture,"China Reform Fund Management, CICC, Guoxin Technology",Series C,3,,,,,,,13000000,CNY,1936882,Yes,,https://www.derastorage.com,,Late Stage Venture,,"44,599"
2022-02-18,Phlexing focuses on the research and development of integrated circuit chips.,Phlexing,https://www.crunchbase.com/organization/phlexing,"Electronics, Manufacturing, Semiconductor","Hangzhou, Zhejiang, China, Asia",Series B - Phlexing,https://www.crunchbase.com/funding_round/phlexing-series-b--f8cf4c15,2,"Huaye Tiancheng Capital, Semiconductor Manufacturing International",Early Stage Venture,Semiconductor Manufacturing International,Series B,2,100000000,CNY,15809527,,,,100000000,CNY,15809527,Yes,,http://www.phlexing.com,,Early Stage Venture,2,"45,728"
2022-03-14,Tichuang Biotechnology is an enterprise that realizes the industrialization and commercialization of cross-material types.,Tichuang Biotechnology,https://www.crunchbase.com/organization/tichuang-biotechnology,"Biotechnology, Health Care, Manufacturing","Guangzhou, Guangdong, China, Asia",Series A - Tichuang Biotechnology,https://www.crunchbase.com/funding_round/tichuang-biotechnology-series-a--06afa105,2,"IDG Capital, Legend Capital",Early Stage Venture,IDG Capital,Series A,1,100000000,USD,100000000,,,,100000000,USD,100000000,Yes,,http://www.tidetronbio.com,$10M to $50M,Early Stage Venture,,"46,510"
2022-03-18,Cloud-native and AI-powered SaaS for the global real estate development industry.,Blue Wall Technology,https://www.crunchbase.com/organization/blue-wall-technology,"Construction, Real Estate, Software","Shanghai, Shanghai, China, Asia",Series A - Blue Wall Technology,https://www.crunchbase.com/funding_round/blue-wall-technology-series-a--92cf9e04,3,"GGV Capital, Hearst Ventures, Xiaomiao Langcheng",Early Stage Venture,Hearst Ventures,Series A,3,50000000,CNY,7860152,,,,9360152,USD,9360152,Yes,,https://www.bluewall.com.cn/,$1M to $10M,Early Stage Venture,,"46,649"
2022-02-10,"Seahisun is an agricultural technology company specializing in feed processing, slaughtering, and food processing.",Seahisun,https://www.crunchbase.com/organization/seahisun,"Agriculture, AgTech, Farming","Weifang, Shandong, China, Asia",Series B - Seahisun,https://www.crunchbase.com/funding_round/seahisun-series-b--8a8fdbf2,1,Puwei Capital,Early Stage Venture,Puwei Capital,Series B,1,1430000,USD,1430000,,,,1430000,USD,1430000,Yes,,http://en.seahisun.com/,,Early Stage Venture,,"49,274"
2021-12-29,"Zhengli Technology is a medical technology company engaged in the research, production, and sales of invisible orthodontic products.",Zhengli Technology,https://www.crunchbase.com/organization/zhengli-technology,"Dental, Health Care, Manufacturing, Medical, Medical Device","Tianjin, Guangdong, China, Asia",Series C - Zhengli Technology,https://www.crunchbase.com/funding_round/zhengli-technology-series-c--d22c1754,4,"3E Bioventures, Aibo Qingshi Venture Capital Fund, Eyebright, Strait Capital Investment Group",Late Stage Venture,"3E Bioventures, Eyebright, Strait Capital Investment Group",Series C,2,100000000,CNY,15702778,,,,100000000,CNY,15702778,Yes,,http://www.magicalign.com/,,Late Stage Venture,,"49,442"
2022-03-06,Best Compound Semiconductor is a provider of professional epitaxial foundry services for the high-voltage and high-power application market.,Best Compound Semiconductor,https://www.crunchbase.com/organization/best-compound-semiconductor,"Enterprise, Manufacturing, Semiconductor","Nanjing, Jiangsu, China, Asia",Series A - Best Compound Semiconductor,https://www.crunchbase.com/funding_round/best-compound-semiconductor-series-a--6580cb77,9,"Anchen Technology (Yunnan) Co., Fuhua Capital, Fuji Investment Management, Hangshi Asset Management, Huaying Capital, Jinpu Investment, Meridian Capital Asia, Yida China Holdings, Yonghua Capital",Early Stage Venture,Hangshi Asset Management,Series A,3,,,,,,,,,,Yes,,http://www.bestcompsemi.com,,Early Stage Venture,1,"50,276"
2022-02-21,Tianyi Hexin is an integrated circuit design company.,Tianyi Hexin,https://www.crunchbase.com/organization/tianyi-hexin,Electronics,"Nanjing, Jiangsu, China, Asia",Series C - Tianyi Hexin,https://www.crunchbase.com/funding_round/tianyi-hexin-series-c--c941cb87,5,"CDH Investments, Everest Venture Capital, Hubei Xiaomi Changjiang Industrial Investment Fund Management, Juntong Capital, Stony Creek Capital",Late Stage Venture,CDH Investments,Series C,6,,,,,,,,,,Yes,,http://www.tianyihexin.com/,,Late Stage Venture,3,"50,360"
2022-03-23,Qingwei Intelligent Technology is a Chinese artificial intelligence (AI) chip maker,Qingwei Intelligent Technology,https://www.crunchbase.com/organization/qingwei-intelligent-technology,"Artificial Intelligence (AI), Robotics, Semiconductor","Beijing, Beijing, China, Asia",Series B - Qingwei Intelligent Technology,https://www.crunchbase.com/funding_round/qingwei-intelligent-technology-series-b--7b87cb98,5,"Legend Capital, ProCapital, SenseTime, Z&Y Capital, Zhuoyuan Capital",Early Stage Venture,ProCapital,Series B,2,100000000,CNY,15692675,,,,200000000,CNY,30333535,Yes,,http://www.tsingmicro.com,,Early Stage Venture,1,"50,438"
2021-12-27,OMNI is a pharmaceutical company.,OMNI,https://www.crunchbase.com/organization/omni-5b46,"Biotechnology, Health Care, Medical Device, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series D - OMNI,https://www.crunchbase.com/funding_round/omni-5b46-series-d--776afab6,7,"Bank of China Group Investment, KPCB China, Shanghai Biomedical Industrial Equity Investment Fund, Taikun Capital, Vivo Capital, Zhangkelingyi, Zhongxin Capital",Late Stage Venture,Shanghai Biomedical Industrial Equity Investment Fund,Series D,6,,,,,,,33000000,CNY,5053791,Yes,,http://www.omni-pharma.com,,Late Stage Venture,1,"50,630"
2022-02-14,Qinhao Pharmaceutical is harmaceutical enterprises with a gathering of humanities and innovation.,Qinhao Pharmaceutical,https://www.crunchbase.com/organization/qinhao-pharmaceutical,Biotechnology,"Suzhou, Jiangsu, China, Asia",Series B - Qinhao Pharmaceutical,https://www.crunchbase.com/funding_round/qinhao-pharmaceutical-series-b--a1164aab,4,"Guohai Innovative CCI Capital, LC Ventures, Lenovo Star, Qiandao Fund",Early Stage Venture,LC Ventures,Series B,1,100000000,CNY,15729701,,,,100000000,CNY,15729701,Yes,,https://www.genhousebio.com,,Early Stage Venture,4,"50,852"
2022-03-16,Synceres Biosciences is a full-chain synthetic biology research and development platform.,Synceres Biosciences,https://www.crunchbase.com/organization/sunrise-b954,Biotechnology,"Shenzhen, Guangdong, China, Asia",Series A - Synceres Biosciences,https://www.crunchbase.com/funding_round/sunrise-b954-series-a--9218d1f1,3,"New Value Capital, Shenzhen Capital Group, SZHTI Group",Early Stage Venture,Shenzhen Capital Group,Series A,1,100000000,CNY,15742330,,,,100000000,CNY,15742330,Yes,,http://www.synceres.com/,,Early Stage Venture,,"51,635"
2021-12-31,GenFleet Therapeutics is a biotechnology developer and researcher of molecular pharmaceuticals targeting cancer treatments.,GenFleet Therapeutics,https://www.crunchbase.com/organization/genfleet-therapeutics,"Biotechnology, Health Care, Oncology, Pharmaceutical","Shanghai, Shanghai, China, Asia",Series C - GenFleet Therapeutics,https://www.crunchbase.com/funding_round/genfleet-therapeutics-series-c--131fa117,14,"ABC International, Baidu Ventures, CDH Investments, CHERAMI, Dyee Capital, Growth Capital Partners, HM Capital, Huagai Capital, Lake Bleu Capital, Pan-Lin Capital, Qiaojing Eastern Investment, Shanjin Capital, Suxin Venture Capital, Wenzhou Dongchuang Xinhui",Late Stage Venture,Huagai Capital,Series C,5,500000000,CNY,78667065,,,,169449847,USD,169449847,Yes,,http://www.genfleet.com/en,Less than $1M,Late Stage Venture,2,"51,980"
